numero,descripcion,titulo
263,"Insect bite (nonvenomous) of unsp parts of thorax, init",0
264,"Oth osteoporosis w current pathological fracture, unsp hand",0
265,"Oth injury of unspecified Achilles tendon, init encntr",0
266,"Contact with hot drinks, sequela",0
267,"Unspecified dacryoadenitis, right lacrimal gland",0
268,"Osteonecrosis in diseases classified elsewhere, right thigh",0
269,"Laceration with foreign body of unspecified buttock, sequela",0
270,"Underdosing of keratolyt/keratplst/hair trmt drug, subs",0
271,"Unspecified subluxation of right shoulder joint, init encntr",0
272,"Occup of pk-up/van inj in nonclsn trnsp acc nontraf, subs",0
273,"LeFort III fracture, sequela",0
274,Other specified metabolic disorders,0
275,"Traumatic compartment syndrome of unsp lower extremity, subs",0
276,"I/I react d/t implnt elec nstim of spinal cord, lead, init",0
277,"Pressure ulcer of right ankle, unstageable",0
278,"Gestational edema, unspecified trimester",0
279,"Disp fx of body of hamate bone, unsp wrs, 7thD",0
280,"Ben neoplm of prph nrv & autonm nrv sys, upr lmb, inc shldr",0
281,"Burkitt lymphoma, extranodal and solid organ sites",0
282,"Displacement of cystostomy catheter, subsequent encounter",0
283,"Unsp inj blood vessels at lower leg level, left leg, sequela",0
284,"Polyhydramnios, second trimester, fetus 1",0
285,"Nondisp fx of coronoid pro of l ulna, 7thN",0
286,"Unsp fracture of right ilium, subs for fx w delay heal",0
287,"Osteitis condensans, right thigh",0
288,Congenital pulmonary valve insufficiency,0
289,Secondary carcinoid tumors of peritoneum,0
290,LeFort fracture,0
291,"Parasitic endophthalmitis, unspecified, right eye",0
292,Milt op involving chemical weapons and oth unconvtl warfare,0
293,"Displ spiral fx shaft of unsp tibia, 7thB",0
294,And unsp hormones and synthetic substitutes,0
295,"Suprvsn of preg with history of molar preg, second trimester",0
296,"Sprain of unspecified parts of thorax, sequela",0
297,"Corros first deg mult right fingers (nail), not inc thumb",0
298,"Recurrent erosion of cornea, left eye",0
299,Other acquired deformities of foot,0
300,"Effect of reduced temperature, unspecified, sequela",0
301,"Nondisp fx of nk of 5th MC bone, l hand, 7thD",0
302,Injury of greater saphenous vein at lower leg level,0
303,"Disp fx of r tibial tuberosity, 7thG",0
304,"Nondisp fx of med condyle of l tibia, 7thR",0
305,"Contact w transmission devices, NEC, sequela",0
306,"Circadian rhythm sleep disorder, irregular sleep wake type",0
307,"Athscl native arteries of extrm w intrmt claud, oth extrm",0
308,"Fall (on)(from) escalator, initial encounter",0
309,"Puncture wound with foreign body of unsp elbow, subs encntr",0
310,Family history of malignant neoplasm of kidney,0
311,"Nondisp fx of base of nk of l femr, 7thP",0
312,"Poisoning by oth systemic anti-infect/parasit, accidental",0
313,"Oth physeal fracture of upper end radius, unsp arm, sequela",0
314,Non-prs chronic ulcer oth prt unsp lower leg w necros bone,0
315,"Trib rtnl vein occlusion, right eye, with macular edema",0
316,"Infection of amputation stump, right upper extremity",0
317,"Osteopathy in diseases classified elsewhere, unsp hand",0
318,"Disp fx of intermed cuneiform of unsp ft, 7thG",0
319,"Poisoning by oth viral vaccines, accidental, sequela",0
320,"Contusion of other part of small intestine, subs encntr",0
321,"Bronchopneumonia, unspecified organism",0
322,Abnormal findings in cerebrospinal fluid,0
323,Other specified endocrine disorders,0
324,"Schmorl's nodes, lumbar region",0
325,Nonpurulent mastitis associated with the puerperium,0
326,Adjustment disorders,0
327,Laceration w/o foreign body of oth finger w/o damage to nail,0
328,"Passenger on bus injured in clsn w unsp mv nontraf, sequela",0
329,Cyst of left orbit,0
330,"Oth osteopor w crnt path fx, r low leg, 7thP",0
331,Contusion of ring finger with damage to nail,0
332,"Unsp injury of blood vessels at ank/ft level, left leg, init",0
333,Pre-eclampsia,0
334,"Poisoning by oth agents aff GI sys, accidental",0
335,"Pasngr in hv veh inj pk-up truck, pk-up/van in traf, sequela",0
336,"Partial traumatic amputation of left midfoot, init encntr",0
337,"Person outside hv veh inj in nonclsn trnsp acc in traf, init",0
338,"Poisoning by tricyclic antidepressants, undetermined, init",0
339,"Pnctr w fb of l little finger w/o damage to nail, init",0
340,Ulnar collateral ligament sprain of right elbow,0
341,"Osteitis deformans in neoplastic diseases, left thigh",0
342,"Drown due to oth accident to oth powered watercraft, subs",0
343,"Displ spiral fx shaft of ulna, r arm, 7thM",0
344,"Mech compl of umbrella device, subsequent encounter",0
345,Other fluke infections,0
346,"Central retinal vein occlusion, unsp, with macular edema",0
347,"Sprain of MCP joint of left index finger, sequela",0
348,"Inj oth blood vesls at abd, low back and pelvis level, init",0
349,"Adverse effect of histamine H2-receptor blockers, subs",0
350,"Contact with sharp glass, subsequent encounter",0
351,"Disp fx of post wall of l acetab, subs for fx w routn heal",0
352,"Drowning and submersion due to unsp watercraft sinking, init",0
353,"Milt op involving explosn of unsp marine weapon, milt, subs",0
354,"Displacement of implnt elec nstim of brain lead, init",0
355,"Fracture of orbital floor, right side, 7thB",0
356,"Traumatic rupture of right radiocarpal ligament, init encntr",0
357,Breakdown (mechanical) of bile duct prosthesis,0
358,"Nondisp commnt fx shaft of humer, l arm, 7thD",0
359,Hemorrhage from other sites in respiratory passages,0
360,"Macular cyst, hole, or pseudohole, bilateral",0
361,"Collapsed vert, NEC, cerv region, subs for fx w delay heal",0
362,"Corrosion of larynx and trachea, sequela",0
363,"Nondisp Maisonneuve's fx r leg, init for opn fx type 3A/B/C",0
364,"Oth physeal fracture of upper end radius, right arm, sequela",0
365,"Adverse effect of emollients, demulcents and protect, init",0
366,"Low weight gain in pregnancy, first trimester",0
367,Occlusion and stenosis of left anterior cerebral artery,0
368,"Nondisp comminuted fx shaft of humerus, right arm, init",0
369,"Burn of first degree of back of right hand, subs encntr",0
370,"Exposure to smoke in uncontrolled fire, not in bldg",0
371,Methylphenidate,0
372,Agents primarily affecting the gastrointestinal system,0
373,"Adverse effect of opth drugs and preparations, init",0
374,Struck by falling object on board watercraft,0
375,"Disp fx of base of unsp MC bone, subs for fx w malunion",0
376,"Nondisp fx of ant pro of r calcaneus, subs for fx w malunion",0
377,Left sided colitis,0
378,"Maternal care for compound presentation, fetus 3",0
379,"Car passenger injured in collision w van nontraf, subs",0
380,"Other fracture of occiput, unspecified side, 7thD",0
381,"Twins, one liveborn and one stillborn",0
382,"Abrasion of left upper arm, initial encounter",0
383,Specific (isolated) phobias,0
384,"Mediastnl lg B-cell lymph, nodes of ing rgn and lower limb",0
385,"Toxic effect of inorganic substances, intentional self-harm",0
386,"Corrosion of first deg mult sites of left ank/ft, init",0
387,Spacecraft fire injuring occupant,0
388,"Superficial foreign body, right lower leg, sequela",0
389,"Osteopathy in diseases classified elsewhere, unsp lower leg",0
390,"Burn of first degree of chest wall, subsequent encounter",0
391,"Gestational diabetes in childbirth, insulin controlled",0
392,Livedoid vasculitis,0
393,"Malig neoplm of conn and soft tiss of l upr limb, inc shldr",0
394,Oth symptoms and signs w general sensations and perceptions,0
395,Lacrimal gland dislocation,0
396,"Complete traumatic MCP amputation of r mid finger, sequela",0
397,"Mech compl of implnt elec nstim, generator, init",0
398,Problems related to other legal circumstances,0
399,"Nondisp fx of lateral malleolus of r fibula, 7thJ",0
400,"Schizoaffective disorder, depressive type",0
401,"Other chronic hematogenous osteomyelitis, left shoulder",0
402,"Matern care for disproprtn due to other fetal deform, fts3",0
403,"Stable burst fx first cervcal vertebra, init for opn fx",0
404,"External constriction of other finger, initial encounter",0
405,"Driver of 3-whl mv injured pick-up truck, pk-up/van in traf",0
406,Capsular contracture of breast implant,0
407,"Laceration w/o fb of abd wall, periumb rgn w penet perit cav",0
408,"Tox eff of carb monx fr incmpl combst dmst fuel, acc, sqla",0
409,"Cont preg aft spon abort of one fts or more, first tri, unsp",0
410,"Preterm labor third tri w preterm del third tri, fetus 2",0
411,Other specified disorders of external ear,0
412,"Other osteoporosis with current pathological fracture, femur",0
413,Hypertrichosis of left upper eyelid,0
414,"Congenital shortening of lower limb, bilateral",0
415,"Burn 2nd deg mul sites of left lower limb, ex ank/ft, init",0
416,Unspecified open wound of left elbow,0
417,"Traum rupt of volar plate of l idx fngr at MCP/IP jt, sqla",0
418,Pneumonia in diseases classified elsewhere,0
419,"Cont preg aft uterin dth of one fetus or more, 2nd tri, unsp",0
420,"Inj unsp musc/fasc/tend at shldr/up arm, right arm, init",0
421,"Toxic effect of venom of gila monster, assault",0
422,Unspecified malignant neoplasm of skin of nose,0
423,"Torus fx lower end of left radius, subs for fx w delay heal",0
424,"Crushing injury of right knee, sequela",0
425,Hit by falling object due to accident to watercraft,0
426,"Solitary bone cyst, other site",0
427,Other fracture of fourth thoracic vertebra,0
428,Displaced transcondylar fracture of left humerus,0
429,"Underdosing of other anti-common-cold drugs, sequela",0
430,Subluxation of unspecified parts of left shoulder girdle,0
431,"Nondisp fx of 3rd metatarsal bone, r ft, 7thK",0
432,"Toxic effect of tetrachloroethylene, accidental, subs",0
433,Anterior spinal artery compression syndromes,0
434,"Sedative, hypnotic or anxiolytic dependence with withdrawal",0
435,"Oth fx low end unsp tibia, 7thH",0
436,"Poisoning by saline and osmotic laxatives, self-harm",0
437,Open bite of r frnt wl of thorax w penet thoracic cavity,0
438,"Nondisp fx of intermed cuneiform of unsp ft, 7thD",0
439,"Juvenile rheumatoid arthritis w systemic onset, right wrist",0
440,"Displ bimalleol fx unsp low leg, 7thQ",0
441,Abuse of laxatives,0
442,"Other disorders of bone development and growth, left hand",0
443,Acute embolism and thrombosis of left popliteal vein,0
444,"Strain long flexor musc/fasc/tend r thm at wrs/hnd lv, subs",0
445,Acute radiodermatitis,0
446,Erectile dysfunction due to arterial insufficiency,0
447,"Poisoning by predominantly beta-adrenocpt agonists, assault",0
448,NIHSS score 30-39,0
449,"Algoneurodystrophy, lower leg",0
450,"Lgl intervnt w inj by explosv shl, law enforc offl inj, init",0
451,"Poisoning by antidiarrheal drugs, intentional self-harm",0
452,"Unsp injury of musc/fasc/tend prt biceps, left arm, sequela",0
453,"Arthropathies in oth diseases classd elswhr, right hand",0
454,Unspecified fracture of right wrist and hand,0
455,Other reduction defects of right upper limb,0
456,"Tox eff of unsp halgn deriv of aromat hydrocrb, undet, init",0
457,"Contusion of unspecified intra-abdominal organ, init encntr",0
458,"War op w unsp effect of nuclear weapon, civilian, subs",0
459,"Displ seg fx shaft of rad, r arm, 7thH",0
460,Idiopathic aseptic necrosis of left femur,0
461,Other complication of kidney transplant,0
462,Burn of third degree of left toe(s) (nail),0
463,"Displ transverse fx shaft of l rad, 7thM",0
464,Oth rheumatoid arthritis w rheumatoid factor of right elbow,0
465,"Other osteonecrosis, multiple sites",0
466,"Achilles tendinitis, right leg",0
467,"Oth effects of air pressure and water pressure, init encntr",0
468,Papilledema associated with retinal disorder,0
469,"Unspecified blepharitis right eye, unspecified eyelid",0
470,"Age-rel osteopor w crnt path fx, unsp hand, 7thD",0
471,"Adverse effect of oral contraceptives, subsequent encounter",0
472,"Traum subdr hem w LOC of 6 hours to 24 hours, sequela",0
473,"Fracture of unspecified part of body of left mandible, 7thG",0
474,"Toxic effect of venom of oth Australian snake, undetermined",0
475,Unspecified deformity of unspecified finger(s),0
476,"Oth injury of unsp blood vessel at forearm level, unsp arm",0
477,"Unsp fx lower end unsp femur, subs for clos fx w routn heal",0
478,Estrogens and progestogens,0
479,"Toxic effect of contact w venomous frog, accidental, subs",0
480,"Familial chondrocalcinosis, right hip",0
481,Courtyard of prison as place,0
482,Other sequelae of other cerebrovascular disease,0
483,"Sprain of unspecified ligament of right ankle, init encntr",0
484,"Coma scale, eyes open, spontaneous",0
485,"Unspecified superficial injury of right ankle, subs encntr",0
486,"Primary blast injury of bronchus, unspecified, subs encntr",0
487,"Strain of flexor musc/fasc/tend r thm at forarm lv, sequela",0
488,Other superficial bite of unspecified knee,0
489,"Disp fx of shaft of left clavicle, subs for fx w malunion",0
490,Cellulitis of left finger,0
491,Type 2 diabetes mellitus w diabetic chronic kidney disease,0
492,Other specified diabetes mellitus with oral complications,0
493,Unspecified ectropion of right upper eyelid,0
494,"Unsp inj unsp blood vess at shldr/up arm, left arm, init",0
495,"Unsp fx shaft of l rad, 7thF",0
496,"Other specified bursopathies, left hand",0
497,"Assault by fertilizer bomb, sequela",0
498,"Oth injury of blood vessel of left index finger, init encntr",0
499,Burn of first degree of chin,0
500,Abn results of functn studies of prph nrv sys & specl senses,0
501,"Burn of unsp degree of right hand, unspecified site, sequela",0
502,Other secondary carnitine deficiency,0
503,Contact with nonvenomous toads,0
504,Complications of kidney transplant,0
505,"Subacute osteomyelitis, unspecified humerus",0
506,"Nondisp fx of shaft of first metacarpal bone, unsp hand",0
507,Traumatic subdural hemorrhage,0
508,"Corrosion of unsp degree of unspecified knee, subs encntr",0
509,"Glaucoma secondary to eye inflam, bilateral, severe stage",0
510,"Minimally displ Zone III fx sacrum, subs for fx w nonunion",0
511,"Puncture wound without foreign body, left foot, sequela",0
512,"Other retinoschisis and retinal cysts, bilateral",0
513,Dieulafoy lesion (hemorrhagic) of stomach and duodenum,0
514,"Posterior disloc of proximal end of tibia, r knee, sequela",0
515,"Nondisp fx of unsp tibial tuberosity, 7thQ",0
516,Displaced fracture of medial phalanx of right ring finger,0
517,Lymphoid leukemia,0
518,"Unspecified subluxation of left foot, sequela",0
519,Longitudinal reduction defect of right radius,0
520,Displaced transverse fracture of right patella,0
521,"Rheumatoid nodule, unspecified ankle and foot",0
522,"Diabetes with moderate nonp rtnop with macular edema, bi",0
523,"Spinal instabilities, lumbosacral region",0
524,"Assault by shotgun, subsequent encounter",0
525,"War operations involving incendiary bullet, milt, init",0
526,"Disorder of ligament, right foot",0
527,"Chronic gout due to renal impairment, unsp ankle and foot",0
528,"Oth traum nondisp spondylolysis of fourth cervcal vert, init",0
529,"Stress fracture, right finger(s), init encntr for fracture",0
530,"Traumatic rupture of symphysis pubis, sequela",0
531,"Displ oblique fx shaft of r rad, 7thR",0
532,"Other drowning and submersion, undetermined intent",0
533,"Brkdwn internal orth devices, implants and grafts, init",0
534,Burn of third degree of left scapular region,0
535,"Pedestrian on foot injured in collision w pedal cycle, unsp",0
536,Other spontaneous pneumothorax,0
537,Abrasion of scalp,0
