nombre,tipo_estudio,precio
"Excision of Right Maxillary Sinus, Perc Endo Approach",citologia,3843.31
"Repair Left Thorax Tendon, Percutaneous Approach",biopsia,9855.19
"Extirpation of Matter from L Thorax Bursa/Lig, Open Approach",citologia,26307.5
"Restriction of Ascending Colon, Via Opening",citologia,20041.91
"Reposition Transverse Colon, Open Approach",citologia,11345.34
"Excision of Radial Nerve, Percutaneous Endoscopic Approach",biopsia,13779.01
"Supplement Trans Colon with Autol Sub, Perc Endo Approach",biopsia,10813.75
"Repair Upper Gingiva, External Approach",citologia,17070.69
"Reposition Left Subclavian Artery, Perc Endo Approach",biopsia,28173.67
"Replacement of Left Choroid with Nonaut Sub, Open Approach",biopsia,23753.4
"Bypass R Axilla Art to R Low Arm Art w Synth Sub, Open",biopsia,5960.2
"Insert Infusion Dev in R Post Tib Art, Perc Endo",citologia,29213.93
"Reposition R Femur Shaft with Ring Ext Fix, Perc Approach",citologia,2890.1
"Occlusion of Left Common Iliac Vein, Open Approach",citologia,28422.0
"Restriction of Anus with Extralum Dev, Perc Endo Approach",biopsia,22600.5
"Insertion of Ext Fix into L Patella, Perc Approach",citologia,28377.54
"Replacement of R Verteb Vein with Autol Sub, Open Approach",biopsia,3473.29
"Drainage of B Epididymis with Drain Dev, Perc Approach",citologia,15763.02
"Reattachment of Esophagus, Percutaneous Endoscopic Approach",biopsia,15938.35
"Division of L Thorax Bursa/Lig, Perc Endo Approach",biopsia,3754.38
"Supplement Head Muscle with Nonaut Sub, Open Approach",citologia,17771.63
"Removal of Drainage Device from Nasal Bone, Extern Approach",citologia,11906.11
"Removal of Ext Fix from L Finger Phalanx, Perc Endo Approach",biopsia,26601.68
"Bypass R Pleural Cav to Cutan with Synth Sub, Perc Approach",biopsia,26486.63
"Release Pudendal Nerve, Percutaneous Endoscopic Approach",citologia,25602.87
"Bypass Portal Vein to R Renal Vein w Autol Art, Open",biopsia,20273.88
"Introduction of Liquid Brachy into Low GI, Perc Approach",biopsia,4391.77
"Release Left Sphenoid Sinus, Perc Endo Approach",biopsia,19904.55
"Transfuse Nonaut Whole Blood in Central Art, Open",biopsia,25077.01
"Dilate R Renal Art, Bifurc, w 3 Intralum Dev, Perc Endo",citologia,23198.07
"Removal of Monitoring Device from Low Art, Extern Approach",citologia,26089.44
"Revision of Monitoring Device in Ureter, Via Opening",citologia,10765.53
"Drainage of Left Internal Mammary Artery, Perc Approach",citologia,3924.07
"Repair Esophagogastric Junction, Percutaneous Approach",biopsia,24137.81
"Restriction of Inferior Mesenteric Artery, Open Approach",citologia,23336.13
"Repair Left Atrium, Open Approach",citologia,6325.97
"Insertion of Radioactive Element into Tongue, Perc Approach",citologia,21528.67
"Excision of Lesser Omentum, Percutaneous Approach",biopsia,17482.77
"Excision of R Up Leg Subcu/Fascia, Perc Approach",biopsia,11545.12
"Replace of R Finger Phalanx Jt with Autol Sub, Open Approach",citologia,7137.19
"Drainage of Accessory Nerve, Open Approach, Diagnostic",citologia,23463.72
CT Scan of Bi Renal Vein using L Osm Contrast,citologia,10256.89
"Replace of R Femur Shaft with Nonaut Sub, Perc Endo Approach",biopsia,10155.45
"Bypass Jejunum to Cutaneous, Perc Endo Approach",citologia,21117.64
"Replace of L Knee Jt with Synth Sub, Uncement, Open Approach",citologia,21579.33
"Bypass Abd Aorta to L Femor A with Nonaut Sub, Open Approach",biopsia,27116.49
"Insertion of Int Fix into L Toe Phalanx, Perc Approach",biopsia,10858.96
"Supplement Thor Aorta Desc w Autol Sub, Perc Endo",citologia,2555.94
"Revision of Nonaut Sub in Great Vessel, Open Approach",citologia,18453.17
"Excision of Left Hand Artery, Perc Endo Approach",biopsia,4769.57
"Extirpation of Matter from Pudendal Nerve, Open Approach",citologia,16644.66
"Restrict R Verteb Vein w Extralum Dev, Perc Endo",biopsia,9821.08
"Removal of Ext Fix from R Tarsal, Perc Approach",biopsia,12352.64
"Bypass Sup Vena Cava to R Pulm Art w Autol Art, Open",citologia,25936.79
"Drain Head Neck Symp Nrv w Drain Dev, Perc Endo",biopsia,23477.59
"Drainage of Bilateral Breast, Endo, Diagn",citologia,6287.15
"Dilation of Left Femoral Vein, Open Approach",biopsia,15620.83
"Dilate L Ext Carotid, Bifurc, w 2 Intralum Dev, Open",biopsia,14418.58
"Drainage of Uterine Supporting Structure, Perc Endo Approach",citologia,7247.98
"Restriction of Cecum, Open Approach",biopsia,2763.4
"Resection of Nasopharynx, Via Natural or Artificial Opening",biopsia,19721.15
"Removal of Ext Fix from R Carpal, Perc Approach",citologia,11225.41
"Drainage of Right Lower Femur, Percutaneous Approach, Diagn",citologia,1710.0
"Repair Left 5th Toe, External Approach",citologia,16886.34
"Dilation of L Int Mamm Art with 4 Drug-elut, Open Approach",citologia,13066.46
"Release Thoracolumbar Vertebral Disc, External Approach",biopsia,29789.89
"Reposition R Abd Bursa/Lig, Perc Endo Approach",citologia,4589.71
"Drainage of L Metatarsal with Drain Dev, Perc Endo Approach",citologia,5075.11
"Removal of Drain Dev from Diaphragm, Perc Endo Approach",citologia,13788.98
"Removal of Synth Sub from L Extraoc Muscle, Perc Approach",citologia,23188.79
"Supplement Clitoris with Nonaut Sub, Open Approach",biopsia,7834.04
"Destruction of Vagus Nerve, Open Approach",citologia,25062.21
"Drainage of Left Lower Extremity, Percutaneous Approach",citologia,8424.89
"Excision of Right Renal Artery, Open Approach, Diagnostic",citologia,17746.37
"Reposition Right Popliteal Artery, Percutaneous Approach",citologia,16746.13
"Inspection of Pancreas, External Approach",biopsia,23376.44
"Drainage of L Post Tib Art with Drain Dev, Perc Approach",citologia,9286.69
"Bypass Jejunum to Sigm Colon with Nonaut Sub, Open Approach",citologia,1634.39
Plain Radiography of Bi Pulm Vein using H Osm Contrast,citologia,8236.61
"Bypass R Com Iliac Vein to Low Vein w Nonaut Sub, Open",citologia,20317.36
"Drainage of Soft Palate, Percutaneous Approach",biopsia,17138.74
"Release Right Ovary, Open Approach",citologia,9771.95
"Supplement Left Maxilla with Nonaut Sub, Perc Approach",biopsia,14700.98
"Removal of Autol Sub from Spinal Cord, Open Approach",biopsia,16578.38
"Revision of Extraluminal Device in Bladder, Open Approach",biopsia,5827.75
"Introduction of Anti-inflam into GU Tract, Perc Approach",citologia,20788.46
Beam Radiation of Bile Ducts using Heavy Particles,citologia,4826.83
"Insertion of Ext Fix into L Tibia, Perc Approach",biopsia,5718.51
Change Intermittent Pressure Device on Right Lower Leg,citologia,14840.59
"Drainage of Abdominal Aorta with Drain Dev, Open Approach",citologia,11712.26
"Destruction of Thoracic Nerve, Open Approach",citologia,29235.67
"Revision of Ext Fix in L Finger Phalanx, Open Approach",citologia,18536.65
"Release Right Sacroiliac Joint, Open Approach",biopsia,26002.02
"Measurement of Respiratory Total Activity, Endo",citologia,1167.59
"Revision of Autol Sub in L Humeral Head, Extern Approach",citologia,25088.12
"Repair Right Shoulder Bursa and Ligament, Open Approach",biopsia,13353.84
"Drainage of Hepatic Vein, Open Approach, Diagnostic",biopsia,23374.51
"Insertion of Ext Fix into R Pelvic Bone, Open Approach",citologia,3919.9
"Occlusion of Pancreatic Duct, Open Approach",citologia,12896.06
Exercise Treatment of Musculosk Low Back/LE using Orthosis,citologia,10995.91
"Revise Synth Sub in L Knee Jt, Patella, Perc Endo",biopsia,29971.22
Plain Radiography of Right Testicle using Other Contrast,citologia,21247.91
Planar Nucl Med Imag of Up Extrem Lymph using Technetium 99m,biopsia,28780.85
"Extirpation of Matter from Left External Ear, Perc Approach",biopsia,28725.86
"Removal of Synth Sub from Periton Cav, Open Approach",biopsia,26728.26
Immobilization of Left Upper Arm using Other Device,citologia,21762.67
"Drainage of Pharynx, Percutaneous Approach, Diagnostic",biopsia,27934.08
"Excision of Right Maxillary Sinus, Perc Endo Approach",citologia,19569.06
"Release Left Common Iliac Vein, Percutaneous Approach",biopsia,1901.62
"Bypass R Popl Art to Peron Art w Nonaut Sub, Open",citologia,2470.53
"Drainage of Thoracic Duct, Open Approach, Diagnostic",citologia,21057.51
"Insert of Infusion Dev into L Femor Vein, Perc Endo Approach",citologia,5518.68
"Repair Left Mandible, Percutaneous Approach",biopsia,21636.86
LDR Brachytherapy of Abd Lymph using Californium 252,citologia,18045.5
"Supplement T-lum Disc with Autol Sub, Perc Approach",biopsia,29743.27
"Drainage of Lower Gingiva, Open Approach",citologia,4059.58
"Reposition Left Tarsal Joint, Perc Endo Approach",citologia,6767.63
"Bypass L Hepatic Duct to Caud Duct w Intralum Dev, Open",citologia,6756.25
"Revision of Other Device in Face, Percutaneous Approach",biopsia,8966.35
Fluoroscopy of Left Hip using Other Contrast,biopsia,8628.05
"Supplement Right Lower Leg with Synth Sub, Open Approach",biopsia,26836.7
"Bypass L Subclav Art to R Extracran Art, Open Approach",citologia,29252.97
"Supplement R Foot Art with Synth Sub, Perc Endo Approach",citologia,4287.59
"Dilation of Colic Vein, Percutaneous Endoscopic Approach",biopsia,23800.68
"Insertion of Pedcl Stabl Dev into T-lum Jt, Open Approach",citologia,9498.94
"Destruction of Buccal Mucosa, Percutaneous Approach",biopsia,8350.46
"Destruction of Left Thorax Bursa and Ligament, Open Approach",citologia,1913.19
"Remove Nonaut Sub from R Sacroiliac Jt, Perc Endo",biopsia,27680.82
"Bypass Cereb Vent to Atrium with Synth Sub, Perc Approach",citologia,11065.83
"Bypass Abd Aorta to R Ext Ilia with Synth Sub, Open Approach",biopsia,25768.85
"Extirpation of Matter from Right Acetabulum, Open Approach",citologia,11095.79
"Release Thoracolumbar Vertebral Joint, External Approach",citologia,13306.32
Planar Nucl Med Imag of Skull using Technetium 99m,biopsia,23760.55
"Excision of Carina, Endo, Diagn",biopsia,21103.14
"Inspection of Lower Bursa and Ligament, External Approach",biopsia,11952.12
"Removal of Radioact Elem from Low Back, Extern Approach",biopsia,25980.8
"Bypass R Kidney Pelvis to R Ureter w Autol Sub, Open",biopsia,17908.8
"Supplement Tricusp Valve fr R AV Vlv w Synth Sub, Perc",biopsia,4313.19
"Lower Veins, Occlusion",citologia,8614.33
"Removal of Synth Sub from L Patella, Perc Endo Approach",biopsia,8270.49
"Drain of L Up Leg Subcu/Fascia with Drain Dev, Perc Approach",citologia,28529.59
"Removal of Nonaut Sub from R Elbow Jt, Open Approach",biopsia,6411.59
"Supplement Right Ring Finger with Autol Sub, Open Approach",biopsia,12963.55
"Extirpation of Matter from Upper Esophagus, Via Opening",citologia,7151.2
"Occlusion of L Thyroid Art with Extralum Dev, Open Approach",citologia,5639.54
"Repair Left Lower Extremity Lymphatic, Open Approach",biopsia,6238.27
"Supplement R Int Jugular Vein with Autol Sub, Perc Approach",biopsia,29013.18
"Excision of Right Hand, Percutaneous Approach, Diagnostic",citologia,23086.83
"Release Right Maxillary Sinus, Percutaneous Approach",citologia,24241.63
"Reposition Peroneal Nerve, Percutaneous Approach",citologia,25992.92
"Excision of Left Trunk Muscle, Perc Endo Approach, Diagn",biopsia,22537.94
"Destruction of Right Nipple, Endo",biopsia,20282.76
"Destruction of Left Eye, External Approach",biopsia,16230.07
"Revision of Other Device in Resp Tract, Perc Endo Approach",biopsia,28626.21
"Drainage of Right Fallopian Tube, Perc Endo Approach",biopsia,16987.25
"Dilate R Com Iliac Art, Bifurc, w 3 Intralum Dev, Perc Endo",biopsia,24923.02
"Bypass L Com Iliac Art to L Int Ilia w Autol Vn, Open",citologia,18019.11
"Dilate of R Thyroid Art with 4+ Intralum Dev, Open Approach",biopsia,3853.82
"Dilate R Com Iliac Art w 3 Intralum Dev, Perc Endo",citologia,27099.96
Caregiver Training in Applic/Use/Care Dev using Prosthesis,biopsia,23020.26
"Drainage of Right Testis with Drainage Device, Open Approach",citologia,25976.27
"Excision of Sternum, Percutaneous Endoscopic Approach",citologia,16240.37
Beam Radiation of Sternum using Electrons,citologia,7152.73
"Extirpation of Matter from R Acetabulum, Perc Endo Approach",biopsia,28179.3
Hyperthermia of Femur,citologia,19093.15
"Drainage of Left Knee Tendon, Percutaneous Approach, Diagn",citologia,28466.6
"Repair Left Carpal, Open Approach",citologia,21186.5
"Supplement Cisterna Chyli with Synth Sub, Open Approach",biopsia,2863.31
"Drainage of Left Ear Skin, External Approach",biopsia,11032.43
"Introduce of Local Anesth into Bil/Panc Tract, Via Opening",citologia,6747.28
"Release Aortic Body, Percutaneous Approach",citologia,1117.14
"Insertion of Hearing Device into R Inner Ear, Perc Approach",biopsia,14315.26
"Release Mitral Valve, Open Approach",citologia,6183.93
Change Brace on Right Lower Extremity,biopsia,27250.11
"Dilation of R Ulnar Art with 3 Intralum Dev, Open Approach",citologia,16650.19
"Inspection of T-lum Disc, Perc Endo Approach",citologia,26715.84
"Transfer Right Upper Leg Muscle with Skin, Open Approach",biopsia,9435.67
"Excision of Left Colic Artery, Open Approach",citologia,12018.0
"Extracorporeal Therapies, Phys Sys, Shock Wave Therapy",citologia,26720.18
"Drainage of Upper Gingiva with Drain Dev, Perc Approach",biopsia,5274.49
"Excision of Right Ethmoid Sinus, Open Approach",citologia,20622.67
"Restriction of Bladder with Intraluminal Device, Via Opening",citologia,11551.73
"Revision of Int Fix in L Humeral Head, Open Approach",biopsia,19833.67
"Drainage of Chest Subcu/Fascia, Open Approach, Diagn",biopsia,8469.09
"Excision of Right Foot Skin, External Approach",biopsia,2576.32
"Supplement Lower Back with Nonaut Sub, Open Approach",biopsia,21263.43
"Inspection of Left Hand, Percutaneous Endoscopic Approach",citologia,2172.68
"Restriction of L Ext Iliac Art, Perc Endo Approach",biopsia,6328.09
"Excision of Right Subclavian Artery, Open Approach",citologia,8317.21
"Release Left Trunk Bursa and Ligament, Open Approach",biopsia,14326.61
"Excision of Right Greater Saphenous Vein, Perc Approach",citologia,1292.39
"Reposition Right Foot Artery, Perc Endo Approach",biopsia,23335.93
"Drainage of R Up Lung Lobe with Drain Dev, Via Opening",biopsia,21387.93
Contact Radiation of Right Breast,biopsia,3111.05
Muscle Perform Assess Neuro Low Back/LE w Orthosis,citologia,8858.58
"Revision of Drain Dev in L Acromioclav Jt, Perc Approach",biopsia,9841.15
"Excision of Pulmonary Trunk, Open Approach, Diagnostic",biopsia,5141.48
"Excision of Right Ankle Region, Percutaneous Approach, Diagn",biopsia,22741.23
"Bypass L Com Iliac Art to R Com Ilia w Autol Vn, Perc Endo",biopsia,13499.69
"Extirpation of Matter from L Face Vein, Perc Endo Approach",citologia,3724.88
"Bypass L Ureter to Colocutan with Synth Sub, Open Approach",citologia,23218.39
"Restriction of Cecum, Percutaneous Endoscopic Approach",biopsia,27460.7
"Drainage of Pudendal Nerve, Perc Endo Approach, Diagn",citologia,7487.56
"Insert Infusion Dev in L Verteb Vein, Perc Endo",biopsia,4577.06
"Extirpation of Matter from Bi Carotid Body, Perc Approach",biopsia,16744.97
"Fragmentation in Pericardium, Percutaneous Approach",citologia,18077.68
"Introduction of Oth Diagn Subst into Subcu, Perc Approach",biopsia,25144.31
"Dilate R Int Mamm Art, Bifurc, w 2 Drug-elut, Perc",citologia,16828.77
"Supplement R Low Extrem Bursa/Lig w Autol Sub, Perc Endo",citologia,11160.26
Fluoroscopy of Urethra using Low Osmolar Contrast,biopsia,18069.04
"Removal of Drain Dev from L Finger Phalanx Jt, Open Approach",biopsia,22042.47
"Revision of Nonaut Sub in L Metacarpal, Extern Approach",citologia,7039.56
"Occlusion of R Femor Vein with Extralum Dev, Open Approach",citologia,28334.6
"Destruction of Right Occipital Bone, Perc Endo Approach",biopsia,21114.89
"Supplement Pulm Valve with Nonaut Sub, Perc Endo Approach",biopsia,29515.36
"Radiation Therapy, Musculoskeletal System, Beam Radiation",citologia,27585.3
"Transplantation of L Up Lung Lobe, Zooplast, Open Approach",biopsia,5373.86
Planar Nucl Med Imag of L Breast using Technetium 99m,citologia,6760.95
"Bypass Abd Aorta to L Com Ilia w Synth Sub, Perc Endo",biopsia,24677.85
"Resection of Right Upper Femur, Open Approach",biopsia,17468.94
"Supplement Head Muscle with Nonaut Sub, Perc Endo Approach",biopsia,3054.76
"Revision of Drain Dev in L Metacarpophal Jt, Extern Approach",citologia,18282.19
"Restriction of Left External Iliac Artery, Open Approach",citologia,6586.35
"Revise of Radioact Elem in Vagina & Cul-de-sac, Via Opening",biopsia,1511.93
Magnetic Resonance Imaging (MRI) of Fetal Thorax,biopsia,27950.7
"Replacement of Left Ureter with Synth Sub, Via Opening",biopsia,13846.39
"Removal of Nonaut Sub from Larynx, Perc Approach",citologia,1686.78
"Revision of Synth Sub in R Toe Phalanx, Perc Endo Approach",citologia,18877.56
"Restrict L Int Jugular Vein w Extralum Dev, Open",biopsia,10842.55
"Restriction of Middle Esophagus, Perc Endo Approach",biopsia,13096.86
"Transfuse of Autol Globulin into Central Vein, Perc Approach",biopsia,20052.86
Plain Radiography of Left Testicle using L Osm Contrast,biopsia,4067.03
"Release Right Metatarsal-Phalangeal Joint, External Approach",biopsia,19626.91
"Removal of Synth Sub from Chest Wall, Perc Approach",biopsia,20649.74
"Excision of Innominate Artery, Percutaneous Approach",biopsia,6424.4
"Revision of Bone Stim in Facial Bone, Extern Approach",citologia,14768.43
"Bypass R Ureter to L Ureter w Autol Sub, Perc Endo",biopsia,7447.15
Plain Radiography of Superior Vena Cava using L Osm Contrast,citologia,17875.84
"Excision of Left Occipital Bone, Open Approach, Diagnostic",citologia,19336.7
"Inspection of Lower Bone, External Approach",biopsia,18632.68
"Drain of R Acromioclav Jt with Drain Dev, Perc Endo Approach",citologia,11707.51
"Dilate L Ulnar Art, Bifurc, w Drug-elut Intra, Perc Endo",citologia,25039.74
"Restrict L Ext Iliac Vein w Extralum Dev, Perc Endo",biopsia,19009.12
"Removal of Synth Sub from R Ear, Perc Endo Approach",biopsia,4860.92
"Replace of R Verteb Art with Nonaut Sub, Perc Endo Approach",citologia,16734.69
"Introduce of Oth Diagn Subst into Central Art, Perc Approach",citologia,3275.12
"MRI of Bi Int Carotid using Oth Contrast, Unenh, Enhance",citologia,20697.87
"Bypass L Kidney Pelvis to L Kid Pelv w Nonaut Sub, Open",biopsia,20272.59
"Repair Left Internal Mammary Artery, Open Approach",citologia,13173.66
"Insertion of Pedcl Stabl Dev into Thor Jt, Perc Approach",citologia,10190.69
"Fusion of R Knee Jt with Nonaut Sub, Perc Endo Approach",citologia,1733.46
"Insertion of Int Fix into L Frontal Bone, Perc Endo Approach",citologia,5179.96
"Occlusion of L Ureter with Intralum Dev, Perc Endo Approach",biopsia,28723.59
"Revision of Synth Sub in Cereb Vent, Open Approach",biopsia,12340.85
"Drainage of Right Hand Tendon, Open Approach, Diagnostic",biopsia,8776.55
"Excision of Left Upper Lung Lobe, Via Opening, Diagn",biopsia,2779.51
"Release Urethra, Open Approach",biopsia,17757.24
"Introduction of Oth Therap Subst into Eye, Extern Approach",biopsia,25652.27
"Excision of Lumbar Vertebral Disc, Open Approach",citologia,20220.78
"Reattachment of Right Elbow Region, Open Approach",citologia,2060.17
"Release Left Upper Arm Tendon, Perc Endo Approach",biopsia,27271.39
"Drainage of Cerebellum, Percutaneous Endoscopic Approach",biopsia,23198.24
"Fusion of R Shoulder Jt with Nonaut Sub, Open Approach",citologia,22357.39
"Excision of Glomus Jugulare, Percutaneous Approach, Diagn",citologia,21298.47
"Restriction of Right Neck Lymphatic, Open Approach",biopsia,21257.91
"Exercise Trmt Neuro Head, Neck w Mech/Electromech Equip",citologia,20851.48
Plain Radiography of Uterus & Fallopian using L Osm Contrast,biopsia,28272.56
"Repair Right Ovary, Percutaneous Endoscopic Approach",citologia,20794.49
"Supplement Thor Aorta Asc with Autol Sub, Perc Approach",biopsia,27371.29
"Removal of Autol Sub from Periph Nrv, Open Approach",citologia,9452.53
Magnetic Resonance Imaging (MRI) of Right Ankle,citologia,26452.41
"Drainage of Subarachnoid Space, Open Approach, Diagnostic",biopsia,23887.7
"Supplement Left Atrium with Nonaut Sub, Perc Endo Approach",biopsia,25781.65
"Reposition Right Sphenoid Bone, Percutaneous Approach",biopsia,23822.46
"Bypass Cystic Duct to Left Hepatic Duct, Open Approach",citologia,16829.48
"Drainage of Acoustic Nerve, Perc Endo Approach, Diagn",citologia,18418.86
"Drain Uterine Support Struct w Drain Dev, Open",citologia,15968.81
"Repair Hepatobiliary and Pancreas in POC, Via Opening",biopsia,10289.6
Beam Radiation of Abdomen Skin using Photons <1 MeV,citologia,18765.99
"Fusion of Left Tarsal Joint with Ext Fix, Perc Endo Approach",biopsia,28564.83
"Bypass R Hepatic Duct to L Hep Duc w Intralum Dev, Perc Endo",citologia,20400.44
"Removal of Nonaut Sub from Nasal Bone, Perc Endo Approach",biopsia,15737.12
"Removal of Autol Sub from L Tarsal Jt, Open Approach",biopsia,20833.98
"Bypass L Int Iliac Art to R Femor A w Autol Vn, Perc Endo",biopsia,1807.49
"Drainage of Cecum with Drainage Device, Endo",citologia,27695.0
"Division of Coccyx, Percutaneous Approach",citologia,4812.66
"Ultrasonography of Celiac and Mesenteric Arteries, Intravasc",citologia,16012.79
"Drainage of Left Lower Lobe Bronchus, Percutaneous Approach",biopsia,16832.87
"Drainage of Spinal Canal, Open Approach",citologia,1147.4
"Revision of Nonaut Sub in Low Tendon, Perc Approach",citologia,23508.18
"Excision of Left Thorax Muscle, Percutaneous Approach, Diagn",citologia,15220.04
"Revision of Intralum Dev in Fallopian Tube, Via Opening",citologia,7884.0
"Revise of Autol Sub in Epididymis/Sperm Cord, Open Approach",biopsia,3064.42
Coord/Dexterity Treatment of Neuro Up Back/UE using Orthosis,citologia,17011.98
"Inspection of Lymphatic, Percutaneous Endoscopic Approach",citologia,5704.6
"Repair Left Lobe Liver, Open Approach",biopsia,24619.15
"Inspection of Right Wrist Joint, External Approach",biopsia,27205.77
"Repair Bladder Neck, Percutaneous Approach",biopsia,25291.55
"Release R Up Arm Subcu/Fascia, Perc Approach",biopsia,20320.62
"Occlusion R Subclav Art w Intralum Dev, Perc Endo",biopsia,18731.93
"Replace of R Peroneal Art with Synth Sub, Perc Endo Approach",biopsia,14340.14
"Occlusion of Ductus Arteriosus, Perc Endo Approach",citologia,21320.03
"Destruction of Right Ankle Joint, Perc Endo Approach",citologia,3626.73
CT Scan of Neck using L Osm Contrast,citologia,10356.72
"Dilation of R Brach Art with Drug-elut Intra, Open Approach",biopsia,19148.34
"Restriction of Splenic Vein with Intralum Dev, Open Approach",biopsia,19347.64
"Release Left Inferior Parathyroid Gland, Perc Approach",citologia,22748.94
"Extraction of Buttock Skin, External Approach",citologia,4253.84
"Revision of Synth Sub in Fallopian Tube, Perc Endo Approach",biopsia,10330.62
"Bypass R Ext Iliac Art to R Ext Ilia w Autol Art, Perc Endo",citologia,20875.95
"Revise Drain Dev in R Metatarsophal Jt, Perc Endo",citologia,5261.4
"Dilation of Duodenum, Via Natural or Artificial Opening",citologia,2528.48
Manual Therapy Techniques Treatment of Neuro Up Back/UE,citologia,24637.41
"Revision of Neuro Lead in Spinal Canal, Open Approach",biopsia,18235.53
"Restrict L Great Saphenous w Extralum Dev, Open",citologia,22123.86
"Bypass 4+ Cor Art from Cor Art w Nonaut Sub, Perc Endo",biopsia,7084.56
"Occlusion L Ext Jugular Vein w Extralum Dev, Open",biopsia,11723.75
"Revision of Synth Sub in R Hip Jt, Femoral, Perc Approach",citologia,1808.46
