nombre,tipo_estudio,precio,fecha
"Bypass L Fem Art to Foot Art w Nonaut Sub, Perc Endo",citologia,2000.18,2017-05-04 22:08:47+00:00
"Drainage of Left Fibula, Percutaneous Approach, Diagnostic",citologia,19036.25,2017-05-04 22:08:47+00:00
"Fragmentation in Right Hepatic Duct, Endo",citologia,8133.39,2017-05-04 22:08:47+00:00
"Reposition Right Lacrimal Gland, Open Approach",citologia,17903.27,2017-05-04 22:08:47+00:00
"Revision of Intraluminal Device in Right Eye, Endo",citologia,19948.09,2017-05-04 22:08:47+00:00
Sys Nucl Med Therapy of Whole Body using Samarium 153,citologia,17467.12,2017-05-04 22:08:47+00:00
"Repair Ventricular Septum, Percutaneous Approach",citologia,1018.25,2017-05-04 22:08:47+00:00
"Fragmentation in Left Pleural Cavity, Open Approach",citologia,8513.15,2017-05-04 22:08:47+00:00
"Dilation of 3 Cor Art, Bifurc, Open Approach",citologia,2558.27,2017-05-04 22:08:47+00:00
"Revision of VAD in Trunk Subcu/Fascia, Open Approach",citologia,4193.82,2017-05-04 22:08:47+00:00
"Supplement Trigem Nrv with Autol Sub, Perc Endo Approach",citologia,15733.22,2017-05-04 22:08:46+00:00
"Revision of Ext Fix in R Fibula, Perc Approach",citologia,18072.52,2017-05-04 22:08:46+00:00
"Drainage of Adenoids, Percutaneous Approach",citologia,5321.09,2017-05-04 22:08:46+00:00
"Bypass R Pulm Art from Subclav w Zooplastic, Open",citologia,7056.39,2017-05-04 22:08:46+00:00
"Removal of Ext Fix from L Toe Phalanx, Perc Endo Approach",citologia,14237.21,2017-05-04 22:08:46+00:00
"Occlusion of Right Ureter with Intralum Dev, Open Approach",citologia,28965.66,2017-05-04 22:08:46+00:00
HDR Brachytherapy of Pelvic Region using Oth Isotope,citologia,16551.53,2017-05-04 22:08:46+00:00
"Revision of Synthetic Substitute in L Ulna, Extern Approach",citologia,14181.11,2017-05-04 22:08:46+00:00
"Supplement Celiac Artery with Synth Sub, Perc Approach",citologia,4522.40,2017-05-04 22:08:46+00:00
Plain Radiography of Left Ureter using Other Contrast,citologia,22491.36,2017-05-04 22:08:46+00:00
Beam Radiation of Spleen using Photons 1 - 10 MeV,citologia,27932.20,2017-05-04 22:08:46+00:00
"Extraction of Peroneal Nerve, Perc Endo Approach",citologia,7992.91,2017-05-04 22:08:46+00:00
"Drainage of Right Eustachian Tube, Via Opening, Diagn",citologia,9212.66,2017-05-04 22:08:46+00:00
"Dilate Hepatic Art, Bifurc, w 3 Intralum Dev, Perc",citologia,16439.00,2017-05-04 22:08:46+00:00
"Change Drainage Device in Right Ear, External Approach",citologia,3512.90,2017-05-04 22:08:46+00:00
"Transplantation of Lung Lingula, Zooplastic, Open Approach",citologia,6415.52,2017-05-04 22:08:46+00:00
"Drainage of Right Frontal Bone, Percutaneous Approach",citologia,1094.11,2017-05-04 22:08:46+00:00
"Introduce Radioact Subst in Cran Cav/Brain, Perc",citologia,20360.70,2017-05-04 22:08:46+00:00
"Drainage of Right Ethmoid Bone, Perc Endo Approach",citologia,7423.57,2017-05-04 22:08:46+00:00
Fluoroscopy of Pelvic Arteries using Low Osmolar Contrast,citologia,14152.65,2017-05-04 22:08:46+00:00
"Excision of Left Superior Parathyroid Gland, Perc Approach",citologia,14088.93,2017-05-04 22:08:46+00:00
"Removal of Infusion Dev from Male Perineum, Extern Approach",citologia,6897.82,2017-05-04 22:08:46+00:00
"Drainage of Splenic Artery, Percutaneous Endoscopic Approach",citologia,2589.60,2017-05-04 22:08:46+00:00
"Destruction of Spinal Meninges, Open Approach",citologia,28143.82,2017-05-04 22:08:45+00:00
"Drainage of Cul-de-sac with Drainage Device, Via Opening",citologia,15819.19,2017-05-04 22:08:45+00:00
"Replace of Face Subcu/Fascia with Nonaut Sub, Open Approach",citologia,29067.95,2017-05-04 22:08:45+00:00
"Lower Veins, Insertion",citologia,11615.63,2017-05-04 22:08:45+00:00
"alteration of r knee with synth sub, open approach",biopsia,11497.91,2017-05-04 22:08:45+00:00
"Excision of Bilateral Ovaries, Perc Endo Approach, Diagn",citologia,10141.24,2017-05-04 22:08:45+00:00
"Reposition R Shoulder Bursa/Lig, Perc Endo Approach",citologia,26318.96,2017-05-04 22:08:45+00:00
"Restriction of R Hepatic Duct with Intralum Dev, Via Opening",citologia,22125.76,2017-05-04 22:08:45+00:00
"Supplement Abdominal Wall with Autol Sub, Perc Endo Approach",citologia,28681.43,2017-05-04 22:08:45+00:00
"Dilation of R Renal Art with 4 Drug-elut, Open Approach",citologia,20057.38,2017-05-04 22:08:45+00:00
"Extirpation of Matter from Phrenic Nerve, Perc Endo Approach",citologia,8602.24,2017-05-04 22:08:45+00:00
Beam Radiation of Jejunum using Photons 1 - 10 MeV,citologia,18980.10,2017-05-04 22:08:45+00:00
Dichotic Stimuli Assessment using Audiovisual Equipment,citologia,26439.33,2017-05-04 22:08:45+00:00
"Remove Infusion Dev from Uterus & Cervix, Perc Endo",citologia,12752.18,2017-05-04 22:08:45+00:00
"Repair Ventricular Septum, Open Approach",citologia,5211.48,2017-05-04 22:08:45+00:00
"Bypass Trans Colon to Desc Colon w Synth Sub, Open",citologia,24170.20,2017-05-04 22:08:45+00:00
"Fusion L Metacarpocarp Jt w Autol Sub, Perc Endo",citologia,16725.80,2017-05-04 22:08:45+00:00
HDR Brachytherapy of Tongue using Palladium 103,citologia,2405.22,2017-05-04 22:08:45+00:00
"Occlusion of Low Vein with Extralum Dev, Perc Endo Approach",citologia,17335.11,2017-05-04 22:08:45+00:00
"Bypass R Fem Art to Poplit Art, Perc Endo Approach",citologia,11856.69,2017-05-04 22:08:45+00:00
"Removal of Intralum Dev from Thoracic Duct, Open Approach",citologia,1323.51,2017-05-04 22:08:45+00:00
"Bypass Ascending Colon to Cutaneous with Autol Sub, Endo",citologia,19948.80,2017-05-04 22:08:45+00:00
Stereotactic Other Photon Radiosurgery of Hard Palate,citologia,20616.01,2017-05-04 22:08:45+00:00
"Revision of Autol Sub in R Ulna, Perc Approach",citologia,14706.48,2017-05-04 22:08:44+00:00
"Supplement R Ext Jugular Vein with Synth Sub, Open Approach",citologia,20212.89,2017-05-04 22:08:44+00:00
"Inspection of Vagina and Cul-de-sac, Open Approach",citologia,8043.85,2017-05-04 22:08:44+00:00
Stereotactic Particulate Radiosurgery of Peripheral Nerve,citologia,19204.47,2017-05-04 22:08:44+00:00
"Replace of L Hip Jt, Femoral with Autol Sub, Open Approach",citologia,19719.32,2017-05-04 22:08:44+00:00
"Alteration of Left Lower Leg with Synth Sub, Perc Approach",citologia,1921.42,2017-05-04 22:08:44+00:00
"Motor Functn Trmt Musculosk Head, Neck w Assist Equip",citologia,29741.26,2017-05-04 22:08:44+00:00
Wound Management Treatment of Integu Body using Prosthesis,citologia,29552.88,2017-05-04 22:08:44+00:00
"Occlusion of Left Subclavian Artery, Open Approach",citologia,27297.39,2017-05-04 22:08:44+00:00
"Insertion of Int Fix into R Lacrimal Bone, Perc Approach",citologia,3115.33,2017-05-04 22:08:44+00:00
"Supplement L Index Finger with Autol Sub, Perc Endo Approach",citologia,3957.42,2017-05-04 22:08:44+00:00
"Supplement Penis with Autol Sub, Extern Approach",citologia,7617.56,2017-05-04 22:08:44+00:00
"Removal of Nonaut Sub from L Pelvic Bone, Open Approach",citologia,23488.16,2017-05-04 22:08:44+00:00
"Removal of Autologous Tissue Substitute from Right Eye, Endo",citologia,13406.22,2017-05-04 22:08:44+00:00
"Resection of Thorax Lymphatic, Open Approach",citologia,8205.73,2017-05-04 22:08:44+00:00
Plain Radiography of Corpora Cavernosa using L Osm Contrast,citologia,9556.12,2017-05-04 22:08:44+00:00
"Restriction of L Renal Vein with Extralum Dev, Perc Approach",citologia,27398.36,2017-05-04 22:08:44+00:00
"Drainage of Occipital-cervical Joint, Open Approach",citologia,19776.96,2017-05-04 22:08:44+00:00
"Supplement Innominate Artery with Synth Sub, Open Approach",citologia,27087.89,2017-05-04 22:08:44+00:00
"Division of Right Acetabulum, Percutaneous Approach",citologia,12815.72,2017-05-04 22:08:43+00:00
"Removal of Nonaut Sub from Heart, Open Approach",citologia,27291.51,2017-05-04 22:08:43+00:00
"Introduce of Oth Diagn Subst into Central Art, Open Approach",citologia,15192.55,2017-05-04 22:08:43+00:00
